127.0.0.1 - - [06/Jul/2022:13:50:06 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:07 +0700] "GET /CRM/user-table HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:07 +0700] "GET /CRM/login HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:08 +0700] "GET /favicon.ico HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:17 +0700] "POST /CRM/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:17 +0700] "GET /CRM/user-table HTTP/1.1" 200 8606
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:17 +0700] "GET /CRM/assetsplugins/bower_components/sidebar-nav/dist/sidebar-nav.min.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:17 +0700] "GET /CRM/assets/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:17 +0700] "GET /CRM/assets/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:17 +0700] "GET /CRM/assets/css/colors/blue-dark.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:17 +0700] "GET /CRM/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:17 +0700] "GET /CRM/assets/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:17 +0700] "GET /CRM/assets/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:17 +0700] "GET /CRM/assets/plugins/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:17 +0700] "GET /CRM/assets/js/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:50:17 +0700] "GET /CRM/assets/js/jquery.dataTables.js HTTP/1.1" 304 -
