127.0.0.1 - - [16/Aug/2022:19:25:59 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:01 +0700] "GET /CRM/project-detail.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:01 +0700] "GET /CRM/login HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:02 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:09 +0700] "GET /CRM/Common.LOGIN HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:09 +0700] "GET /CRM/login HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "POST /CRM/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/home HTTP/1.1" 200 11432
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121259
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/css/animate.css HTTP/1.1" 200 56449
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/plugins/bower_components/sidebar-nav/dist/sidebar-nav.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/css/style.css HTTP/1.1" 200 153395
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/plugins/bower_components/morrisjs/morris.css HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/css/colors/blue-dark.css HTTP/1.1" 200 2904
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/css/custom.css HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/plugins/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 200 84380
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/plugins/bower_components/toast-master/css/jquery.toast.css HTTP/1.1" 200 4910
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/css/spinners.css HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/plugins/bower_components/sidebar-nav/dist/sidebar-nav.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/js/jquery.slimscroll.js HTTP/1.1" 200 4475
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/js/waves.js HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/plugins/bower_components/raphael/raphael-min.js HTTP/1.1" 200 92651
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/plugins/bower_components/morrisjs/morris.js HTTP/1.1" 200 66047
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/plugins/bower_components/counterup/jquery.counterup.min.js HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/plugins/bower_components/waypoints/lib/jquery.waypoints.js HTTP/1.1" 200 17464
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/js/dashboard1.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/js/custom.min.js HTTP/1.1" 200 4212
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/plugins/images/pixeladmin-logo.png HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/plugins/images/pixeladmin-text.png HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/plugins/bower_components/toast-master/js/jquery.toast.js HTTP/1.1" 200 12440
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/plugins/images/users/varun.jpg HTTP/1.1" 200 19934
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:16 +0700] "GET /CRM/assets/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:17 +0700] "GET /CRM/assets/plugins/images/favicon.png HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:20 +0700] "GET /CRM/listusers HTTP/1.1" 200 14834
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:20 +0700] "GET /CRM/.assets/css/custom.css HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:20 +0700] "GET /CRM/assets/js/jquery.dataTables.js HTTP/1.1" 200 462920
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:25 +0700] "GET /CRM/.assets/css/custom.css HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:25 +0700] "GET /CRM/assets/plugins/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127576
0:0:0:0:0:0:0:1 - - [16/Aug/2022:19:26:25 +0700] "GET /CRM/assets/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 54416
